Question,Option1,Option2,Option3,Option4,Answer
What is the purpose of a CDN (Content Delivery Network) in web development?,Improving the delivery speed of web content,Creating dynamic web pages,Managing databases,Styling web content,Improving the delivery speed of web content
Which programming language is commonly used for server-side scripting in Node.js?,JavaScript,Python,Ruby,Java,JavaScript
What does the acronym API stand for in the context of web development?,Application Programming Interface,Advanced Programming Interface,Automated Processing Interface,Application Process Interface,Application Programming Interface
What is the primary purpose of responsive web design?,Ensuring a consistent user experience across different devices,Encrypting web traffic,Handling server-side scripts,Optimizing database performance,Ensuring a consistent user experience across different devices
Which HTTP status code indicates a successful request in web development?,200 OK,404 Not Found,500 Internal Server Error,302 Found,200 OK
What is the purpose of the meta tag in HTML?,Providing metadata about the HTML document,Creating hyperlinks,Defining document structure,Embedding external scripts,Providing metadata about the HTML document
Which CSS property is used to control the spacing between elements?,margin,padding,border,spacing,margin
In web development what does the term SEO stand for?,Search Engine Optimization,Server Environment Operation,Secure Encryption Option,Software Enhancement Objective,Search Engine Optimization
Which protocol is used for transferring files between a client and a server over the internet?,FTP (File Transfer Protocol),HTTP (Hypertext Transfer Protocol),SMTP (Simple Mail Transfer Protocol),TCP (Transmission Control Protocol),FTP (File Transfer Protocol)
What is the purpose of the "viewport" meta tag in a web page?,Controlling the layout on mobile devices,Embedding external stylesheets,Defining document structure,Managing server-side scripts,Controlling the layout on mobile devices
